"","X1560850_at","X1557843_at","X229381_at","X1553622_a_at","X204273_at","X230800_at","X211734_s_at","X214156_at","X209945_s_at","X228618_at","X206201_s_at","X220225_at","X228554_at","X213712_at","X226814_at","X206702_at","X205009_at","X204623_at","X220581_at","X211248_s_at","X209560_s_at","dataY"
"GSM1116177_BC16_ARN0029_s1h1s1_U133p2.CEL.gz",6.22727207577853,3.25581475096911,6.37348451561223,3.91653176545658,7.85677952767801,8.57004479237522,5.15895294227263,4.73929166496787,6.09129904089982,7.42689011295664,7.19377459318235,6.25527177497777,9.684767970133,5.65777719337697,7.93702668498651,6.9838233441133,9.73168897051347,9.46606449895186,5.76906180675727,5.92326148176365,7.17321835989201,1
"GSM1116178_BC16_ARN0030_s1h1s1_U133p2.CEL.gz",4.36412729672186,3.292590040988,6.27864792778533,3.62766762089841,7.34518013332983,7.72937800078268,5.84825774478379,4.59391440934566,6.12206656532646,7.84554339030377,5.06482363671634,6.91703970232795,9.05925517371815,5.3577269667561,8.39743213409226,5.8484849876101,9.13352290442673,8.87505713710743,4.62544499367606,6.00410006687023,11.4942309614702,1
"GSM1116179_BC16_ARN0033_s1h1s1_U133p2.CEL.gz",4.39362951286955,3.50162420581698,6.14294659263779,3.87277823715274,6.21541279349788,7.98993807372775,4.01951773011856,3.75103549764629,6.70349892842443,7.45103519817052,5.28655184923888,6.62980275299859,7.76115946877351,5.10197939363963,7.91247566882753,5.82141574284806,8.45956895594405,9.32934362964066,4.75317652021095,5.5341868167222,11.9884642022375,1
"GSM1116180_BC16_ARN0036_s1h1s1_U133p2.CEL.gz",3.60960579912215,6.91957134419164,6.88488114990756,7.81203194029766,4.66582272890392,6.43934507913897,5.40207531553434,3.96332845231059,7.78019436519794,5.17867242120923,3.71619152122086,5.18385040570274,10.8279662548862,8.55421380755539,5.62820374678208,5.38227837569685,12.0443524855895,10.987058424617,7.75375203585257,5.54832843113938,3.95681502841947,1
"GSM1116181_BC16_ARN0037_s1h1s1_U133p2.CEL.gz",4.02446297730046,7.21436987698089,9.07027600560997,9.00106447581524,3.79069615371062,6.82735095040912,6.20546221408256,4.68322497840085,7.73512353157703,5.37527795450674,3.30638971029549,4.39942179654799,9.97478502175641,4.14775919877439,5.92828146500949,5.56601906509544,5.68977175084215,8.27251951027699,6.66306431374049,5.14484985683684,4.00246405306039,1
"GSM1116182_BC16_ARN0040_s1h1s1_U133p2.CEL.gz",3.28145099311752,3.14306763699019,7.36465606626139,5.67841143959132,3.62887276742842,6.9306974241102,4.82354930097227,5.01678548416051,8.13842724807133,5.60315837862108,3.00243095912222,5.00307674266172,5.07249725202971,3.78767867075514,6.26237015385625,5.48568447593665,7.82386949621473,9.00214174316586,4.16785183564301,6.59322241296738,4.54781797265443,1
"GSM1116183_BC16_ARN0041_s1h1s1_U133p2.CEL.gz",3.90659599479355,7.67508489298776,5.74044833667785,4.03474949409084,3.64949729548245,6.02947167838484,3.49714336196561,3.44809210095945,9.17676097411128,5.52703429015832,3.06123868104723,5.41054166255591,8.32177526515728,4.93623506393673,5.58089770972312,5.04336335377163,10.333012598928,10.1509494518422,7.24678152713557,6.87006790398352,3.32536552357744,1
"GSM1116184_BC16_ARN0045_s1h1s1_U133p2.CEL.gz",7.47026538356385,4.90333074117369,9.01820924801496,7.49546720141942,4.48244223162274,6.98822155880431,7.61280341897148,3.78514354229581,7.56949170640661,6.05546047457329,5.06985797533733,5.83140442584961,12.0150752177783,9.72293087307288,6.87583975393051,5.95466608086101,7.25504496086683,7.47717717497633,6.45182952154619,5.8790987901745,3.92925513309976,1
"GSM1116185_BC16_ARN0046_s1h1s1_U133p2.CEL.gz",3.18905701898895,4.22319550014092,5.54829252221202,4.13111003132326,6.7019633827575,7.59627739340609,4.36862411870548,3.59487519300611,8.28617898884287,5.84686408080979,3.7172447429808,4.087650523126,10.3543868215745,3.8780986701538,6.69557599666984,6.50663581773478,6.60344710330408,10.0195659304881,6.04726252900248,5.00124638473516,3.92728695913622,1
"GSM1116186_BC16_ARN0048_s1h1s1_U133p2.CEL.gz",3.39244850479104,6.54237663481854,8.47347096919639,5.46104024044559,3.95989758739829,6.59485703490706,4.76180191017275,6.395806659276,7.95902216223115,5.11272953945836,3.46622260390126,4.38901987377074,6.60627678723806,8.58042437553387,5.79647334115576,5.66008552141516,10.6199310966868,8.50096760835634,6.75959523328624,4.718405065029,3.72882542858641,1
